CODIGO  ;DESCRICAO DO INSUMO;UNIDADE;ORIGEM DO PRECO;  PRECO MEDIANO R$
4757; ASFALTADOR;H     ;C ;19,57
12075; CAIXA P/ MEDICAO DE DEMANDA E ENERGIA REATIVA EM CHAPA 18 ESTAMPADA , PADRAO DE CONCESSIONARIA LOCAL;UN    ;CR;399,84
1187;" CAP PVC, ROSCAVEL, 4"",  AGUA FRIA PREDIAL";UN    ;CR;36,58
1520; CONCRETO BETUMINOSO USINADO A QUENTE (CBUQ) PARA PAVIMENTACAO ASFALTICA, PADRAO DNIT, FAIXA C, COM CAP 50/70 - DMT = 10 KM;M3    ;AS;629,23
2404; DIVISORIA COLMEIA CEGA COM MONTANTE E RODAPE DE ALUMINIO ANODIZADO SIMPLES (SEM COLOCACAO);M2    ;C ;160,00
2720; ESCAVADEIRA DRAGA DE ARRASTE, CAP. 3/4 JC 140HP (INCL MANUTENCAO/OPERACAO);H     ;CR;208,46
2719; ESCAVADEIRA HIDRAULICA SOBRE ESTEIRAS DE 99 HP, PESO OPERACIONAL DE *16* T E CAPACIDADE DE 0,85 A 1,00 M3 (LOCACAO COM OPERADOR, COMBUSTIVEL E MANUTENCAO);H     ;C ;176,63
3253;" FLANGE PVC, ROSCAVEL, SEXTAVADO, SEM FUROS 4""";UN    ;CR;79,47
13382; LUMINARIA FECHADA P/ ILUMINACAO PUBLICA, TIPO ABL 50/F OU EQUIV, P/ LAMPADA A VAPOR DE MERCURIO 400W;UN    ;CR;187,95
3901;" LUVA PVC, ROSCAVEL, 4"",  AGUA FRIA PREDIAL";UN    ;CR;21,35
20198; MADEIRA DE 1A. QUALIDADE (MADEIRA BRANCA), SERRADA E NAO APARELHADA, PARA FORMAS DE CONCRETO ARMADO;M3    ;C ;1.714,00
12035; QUADRO EM CHAPA DE ACO 18, PARA 3 DISJUNTORES MONOPOLARES, SEM BARRAMENTO, DE EMBUTIR, COM PORTA (PARA DISTRIBUICAO DE CIRCUITOS);UN    ;C ;14,66
4126; TERMINAL DE PORCELANA (MUFLA) UNIPOLAR, USO EXTERNO, TENSAO 3,6/6 KV, PARA CABO DE 10/16 MM2, COM ISOLAMENTO EPR;UN    ;AS;174,90
9911;" UNIAO PVC, ROSCAVEL, 4"",  AGUA FRIA PREDIAL";UN    ;CR;175,26
38605;ABERTURA PARA ENCAIXE DE CUBA OU LAVATORIO EM BANCADA DE MARMORE/ GRANITO OU OUTRO TIPO DE PEDRA NATURAL;UN    ;CR;78,18
11270;ABRACADEIRA DE LATAO PARA FIXACAO DE CABO PARA-RAIO, DIMENSOES 32 X 24 X 24 MM;UN    ;CR;1,56
412;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE *230* X *7,6* MM;UN    ;CR;0,61
414;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 100 X 2,5 MM;UN    ;CR;0,03
410;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 150 X *3,6* MM;UN    ;CR;0,09
411;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 200 X *4,6* MM;UN    ;C ;0,12
408;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 390 X *4,6* MM;UN    ;CR;0,59
39131;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E CUNHA DE FIXACAO";UN    ;CR;1,99
394;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E PARAFUSO DE FIXACAO";UN    ;CR;2,01
39130;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E CUNHA DE FIXACAO";UN    ;CR;1,81
395;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E PARAFUSO DE FIXACAO";UN    ;CR;1,94
39127;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E CUNHA DE FIXACAO";UN    ;CR;0,95
392;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E PARAFUSO DE FIXACAO";UN    ;CR;0,98
39129;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E CUNHA DE FIXACAO";UN    ;CR;1,12
393;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E PARAFUSO DE FIXACAO";UN    ;C ;1,17
39133;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E CUNHA DE FIXACAO";UN    ;CR;2,61
397;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E PARAFUSO DE FIXACAO";UN    ;CR;2,88
39132;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E CUNHA DE FIXACAO";UN    ;CR;2,09
396;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E PARAFUSO DE FIXACAO";UN    ;CR;2,24
39135;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3 1/2"" E CUNHA DE FIXACAO";UN    ;CR;4,18
39128;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E CUNHA DE FIXACAO";UN    ;CR;1,04
400;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E PARAFUSO DE FIXACAO";UN    ;CR;1,02
39125;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/8"" E PARAFUSO DE FIXACAO";UN    ;CR;1,04
39134;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E CUNHA DE FIXACAO";UN    ;CR;3,48
398;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E PARAFUSO DE FIXACAO";UN    ;CR;3,21
39126;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E CUNHA DE FIXACAO";UN    ;CR;4,70
399;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E PARAFUSO DE FIXACAO";UN    ;CR;4,14
39158;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO ECONOMICA (GOTA), COM 8""";UN    ;CR;11,12
39141;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/2""";UN    ;CR;0,80
39140;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1 1/4""";UN    ;CR;0,73
39137;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1/2""";UN    ;CR;0,42
39139;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 1""";UN    ;CR;0,60
39143;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2 1/2""";UN    ;CR;1,66
39142;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2""";UN    ;CR;1,19
39138;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/4""";UN    ;CR;0,44
39136;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/8""";UN    ;CR;0,29
39144;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3""";UN    ;CR;1,94
39145;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 4""";UN    ;CR;3,19
