CODIGO  ;DESCRICAO_INSUMO;UNIDADE;  PRECO MEDIANO R$;MESANO
4757; ASFALTADOR;H     ;19,57;
12075; CAIXA P/ MEDICAO DE DEMANDA E ENERGIA REATIVA EM CHAPA 18 ESTAMPADA , PADRAO DE CONCESSIONARIA LOCAL;UN    ;399,84;
1187;" CAP PVC, ROSCAVEL, 4"",  AGUA FRIA PREDIAL";UN    ;36,58;
1520; CONCRETO BETUMINOSO USINADO A QUENTE (CBUQ) PARA PAVIMENTACAO ASFALTICA, PADRAO DNIT, FAIXA C, COM CAP 50/70 - DMT = 10 KM;M3    ;629,23;
2404; DIVISORIA COLMEIA CEGA COM MONTANTE E RODAPE DE ALUMINIO ANODIZADO SIMPLES (SEM COLOCACAO);M2    ;160;
2720; ESCAVADEIRA DRAGA DE ARRASTE, CAP. 3/4 JC 140HP (INCL MANUTENCAO/OPERACAO);H     ;208,46;
2719; ESCAVADEIRA HIDRAULICA SOBRE ESTEIRAS DE 99 HP, PESO OPERACIONAL DE *16* T E CAPACIDADE DE 0,85 A 1,00 M3 (LOCACAO COM OPERADOR, COMBUSTIVEL E MANUTENCAO);H     ;176,63;
3253;" FLANGE PVC, ROSCAVEL, SEXTAVADO, SEM FUROS 4""";UN    ;79,47;
13382; LUMINARIA FECHADA P/ ILUMINACAO PUBLICA, TIPO ABL 50/F OU EQUIV, P/ LAMPADA A VAPOR DE MERCURIO 400W;UN    ;187,95;
3901;" LUVA PVC, ROSCAVEL, 4"",  AGUA FRIA PREDIAL";UN    ;21,35;
20198; MADEIRA DE 1A. QUALIDADE (MADEIRA BRANCA), SERRADA E NAO APARELHADA, PARA FORMAS DE CONCRETO ARMADO;M3    ;1.714,00;
12035; QUADRO EM CHAPA DE ACO 18, PARA 3 DISJUNTORES MONOPOLARES, SEM BARRAMENTO, DE EMBUTIR, COM PORTA (PARA DISTRIBUICAO DE CIRCUITOS);UN    ;14,66;
4126; TERMINAL DE PORCELANA (MUFLA) UNIPOLAR, USO EXTERNO, TENSAO 3,6/6 KV, PARA CABO DE 10/16 MM2, COM ISOLAMENTO EPR;UN    ;174,9;
9911;" UNIAO PVC, ROSCAVEL, 4"",  AGUA FRIA PREDIAL";UN    ;175,26;
38605;ABERTURA PARA ENCAIXE DE CUBA OU LAVATORIO EM BANCADA DE MARMORE/ GRANITO OU OUTRO TIPO DE PEDRA NATURAL;UN    ;78,18;
11270;ABRACADEIRA DE LATAO PARA FIXACAO DE CABO PARA-RAIO, DIMENSOES 32 X 24 X 24 MM;UN    ;1,56;
412;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE *230* X *7,6* MM;UN    ;0,61;
414;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 100 X 2,5 MM;UN    ;0,03;
410;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 150 X *3,6* MM;UN    ;0,09;
411;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 200 X *4,6* MM;UN    ;0,12;
408;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 390 X *4,6* MM;UN    ;0,59;
39131;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E CUNHA DE FIXACAO";UN    ;1,99;
